,Date,RainTomorrow
99,2015/2/14,No
100,2014/5/17,Yes
101,2010/1/1,No
102,2012/4/19,No
103,2010/4/8,No
104,2017/6/22,No
105,2008/12/4,No
106,2017/3/9,No
107,2013/8/29,Yes
108,2010/9/26,No
109,2015/9/18,No
110,2014/6/18,No
111,2012/6/1,No
112,2016/9/16,No
113,2014/2/25,No
114,2011/3/24,No
115,2014/10/11,No
116,2017/6/17,No
117,2010/4/18,No
118,2017/1/5,No
119,2011/8/25,No
120,2011/7/16,No
121,2016/6/5,Yes
122,2013/10/31,No
123,2013/12/6,No
124,2011/3/24,Yes
125,2010/11/20,No
126,2014/10/4,No
127,2013/1/8,No
128,2009/10/28,No
129,2015/11/2,Yes
130,2009/8/5,No
131,2011/12/17,No
132,2008/2/5,Yes
133,2016/11/28,No
134,2014/10/16,No
135,2015/11/24,No
136,2015/6/24,Yes
137,2016/5/8,No
138,2013/12/5,No
139,2009/9/1,No
140,2014/10/17,No
141,2012/6/9,No
142,2016/4/14,No
143,2013/7/12,Yes
144,2015/1/1,No
145,2009/8/9,No
146,2011/5/27,No
147,2016/4/8,No
148,2013/11/16,No
149,2017/2/19,No
150,2012/3/30,No
151,2012/9/28,Yes
152,2016/9/4,No
153,2015/10/12,No
154,2016/5/6,No
155,2014/9/26,No
156,2013/5/29,Yes
157,2012/5/20,No
158,2015/8/1,No
159,2016/8/22,No
160,2016/11/2,No
161,2010/7/25,No
162,2011/7/17,No
163,2011/5/1,No
164,2013/1/18,No
165,2013/7/16,No
166,2009/5/16,No
167,2013/5/3,Yes
168,2016/10/7,No
169,2016/3/5,No
170,2016/12/31,No
171,2013/6/16,No
172,2015/8/30,No
173,2016/9/21,Yes
174,2010/1/20,No
175,2014/4/28,No
176,2013/6/20,No
177,2017/5/17,No
178,2010/1/23,No
179,2014/2/28,No
180,2009/11/9,No
181,2016/8/21,No
182,2016/1/26,Yes
183,2012/8/31,No
184,2013/8/4,No
185,2010/2/16,No
186,2015/3/3,No
187,2010/5/5,No
188,2015/7/29,No
189,2014/3/3,No
190,2011/5/27,No
191,2013/10/12,No
192,2009/4/19,No
193,2016/8/6,Yes
194,2014/8/22,No
195,2017/2/16,No
196,2015/1/11,Yes
197,2010/7/21,No
198,2016/3/31,No
199,2015/7/14,No
200,2016/9/30,No
201,2012/4/24,No
202,2008/10/7,No
203,2014/2/23,No
204,2011/5/2,No
205,2013/12/16,No
206,2010/1/4,No
207,2014/9/2,No
208,2011/1/11,No
209,2014/3/30,No
210,2011/1/17,Yes
211,2011/3/18,No
212,2009/8/14,No
213,2009/1/26,No
214,2010/2/8,No
215,2010/1/2,No
216,2015/7/22,Yes
217,2009/5/30,No
218,2012/5/23,No
219,2016/11/29,No
220,2010/3/27,No
221,2015/1/16,No
222,2010/1/4,No
223,2012/8/11,No
224,2009/7/16,No
225,2015/11/5,No
226,2011/6/4,No
227,2014/1/10,No
228,2013/8/25,No
229,2008/12/23,No
230,2014/7/1,No
231,2013/12/18,No
232,2010/5/30,No
233,2013/10/23,No
234,2015/2/8,No
235,2009/1/26,No
236,2016/8/27,No
237,2013/4/12,Yes
238,2017/1/6,No
239,2010/12/13,No
240,2011/6/9,No
241,2015/9/27,No
242,2016/6/20,Yes
243,2014/1/19,No
244,2011/11/22,No
245,2017/1/15,No
246,2013/1/7,No
247,2015/2/25,Yes
248,2011/7/17,Yes
249,2013/4/23,No
250,2011/6/17,No
251,2011/5/31,No
252,2012/8/17,No
253,2009/3/18,No
254,2016/5/26,No
255,2009/8/30,No
256,2009/5/30,Yes
257,2014/1/5,No
258,2017/5/12,No
259,2014/8/10,No
260,2011/5/12,No
261,2014/3/4,No
262,2010/3/15,No
263,2014/6/21,No
264,2012/1/29,No
265,2017/3/21,No
266,2016/12/5,No
267,2015/5/30,No
268,2012/1/22,No
269,2016/6/11,No
270,2009/6/24,No
271,2015/12/20,No
272,2012/11/16,No
273,2012/11/9,No
274,2011/3/13,No
275,2010/2/12,No
276,2011/11/17,Yes
277,2014/12/1,No
278,2016/12/21,No
279,2009/7/12,No
280,2014/5/8,No
281,2009/1/27,Yes
282,2009/4/5,No
283,2016/4/20,No
284,2016/10/4,No
285,2014/2/15,No
286,2015/5/1,Yes
287,2009/11/6,No
288,2016/1/4,No
289,2014/11/16,Yes
290,2015/1/7,No
291,2015/3/27,No
292,2016/2/2,No
293,2016/1/8,No
294,2010/5/7,No
295,2011/12/15,Yes
296,2009/7/9,Yes
297,2014/12/20,No
298,2017/3/20,Yes
299,2012/3/30,No
300,2010/4/8,No
301,2010/5/15,No
302,2015/8/4,No
303,2014/4/30,No
304,2015/4/12,No
305,2016/5/11,No
306,2017/5/20,No
307,2015/11/15,No
308,2009/3/30,No
309,2015/3/25,No
310,2013/12/5,No
311,2012/5/3,No
312,2009/5/6,No
313,2014/6/25,Yes
314,2010/2/3,No
315,2013/5/22,No
316,2015/9/3,No
317,2016/5/5,No
318,2011/1/20,No
319,2016/9/30,Yes
320,2013/9/20,Yes
321,2015/12/11,No
322,2013/8/19,No
323,2009/7/2,No
324,2017/5/3,No
325,2010/2/24,No
326,2015/9/23,No
327,2014/8/24,Yes
328,2011/5/21,No
329,2013/1/24,No
330,2009/11/8,No
331,2012/8/12,No
332,2010/1/21,No
333,2009/10/18,No
334,2009/5/23,No
335,2011/12/29,No
336,2015/10/5,No
337,2017/3/14,No
338,2010/4/21,Yes
339,2009/11/3,No
340,2017/3/30,No
341,2011/3/28,No
342,2014/10/23,No
343,2014/12/28,No
344,2011/2/19,No
345,2012/11/25,No
346,2009/8/22,No
347,2015/2/6,No
348,2014/8/13,No
349,2014/3/28,No
350,2014/2/4,Yes
351,2015/5/24,No
352,2008/12/16,No
353,2010/8/21,No
354,2009/5/2,No
355,2010/12/18,No
356,2010/7/9,No
357,2017/5/18,No
358,2011/1/1,No
359,2011/11/10,No
360,2016/5/17,No
361,2011/12/26,No
362,2013/6/13,Yes
363,2015/9/28,No
364,2009/11/26,No
365,2016/6/30,No
366,2011/5/18,No
367,2013/7/13,No
368,2016/9/12,No
369,2009/9/10,No
370,2009/10/15,Yes
371,2009/9/14,No
372,2011/2/28,No
373,2009/10/8,No
374,2016/1/12,No
375,2010/8/25,Yes
376,2011/8/3,No
377,2015/8/28,No
378,2016/8/14,No
379,2011/1/30,No
380,2009/6/18,No
381,2015/8/25,No
382,2013/1/30,No
383,2009/11/30,No
384,2014/6/20,No
385,2015/3/19,No
386,2013/12/6,No
387,2013/4/11,No
388,2014/11/16,No
389,2012/1/27,Yes
390,2015/2/13,No
391,2015/3/26,No
392,2014/6/4,No
393,2016/2/11,No
394,2010/11/17,No
395,2015/8/25,No
396,2015/11/29,No
397,2014/9/9,No
398,2014/12/10,No
399,2017/5/22,No
400,2010/12/10,No
401,2016/6/5,No
402,2009/5/31,Yes
403,2013/7/28,Yes
404,2014/2/25,No
405,2016/7/6,No
406,2015/8/15,No
407,2016/5/19,No
408,2013/4/3,No
409,2009/9/28,Yes
410,2014/12/12,No
411,2011/1/7,No
412,2013/10/4,No
413,2014/6/26,No
414,2012/8/9,No
415,2011/6/12,No
416,2010/4/29,Yes
417,2017/4/10,No
418,2015/7/4,No
419,2008/12/19,No
420,2010/4/13,No
421,2012/6/24,No
422,2016/12/18,No
423,2013/5/18,No
424,2016/1/25,No
425,2017/3/21,No
426,2009/4/9,No
427,2011/1/4,No
428,2015/8/22,No
429,2010/10/4,No
430,2009/10/14,No
431,2014/2/24,No
432,2015/3/5,No
433,2013/6/10,No
434,2015/7/19,No
435,2009/5/13,No
436,2017/6/25,No
437,2010/10/16,No
438,2010/12/24,No
439,2014/8/19,No
440,2013/11/16,No
441,2009/11/9,No
442,2011/7/10,No
443,2013/3/22,Yes
444,2013/5/1,No
445,2010/3/4,No
446,2014/11/14,No
447,2010/2/15,No
448,2010/5/28,Yes
449,2013/5/24,No
450,2009/6/7,Yes
451,2009/8/16,Yes
452,2013/3/8,No
453,2013/11/22,Yes
454,2013/6/11,No
455,2014/2/3,Yes
456,2009/12/29,No
457,2011/1/30,No
458,2010/6/28,No
459,2014/4/5,No
460,2015/6/23,No
461,2015/3/8,No
462,2014/2/4,No
463,2012/9/24,No
464,2016/12/27,Yes
465,2016/9/24,No
466,2011/10/1,Yes
467,2009/12/27,Yes
468,2009/4/19,No
469,2013/12/12,No
470,2010/10/21,No
471,2013/6/11,No
472,2015/10/20,Yes
473,2016/7/3,No
474,2015/2/24,No
475,2012/3/29,No
476,2009/5/8,No
477,2015/5/19,No
478,2013/1/10,No
479,2013/7/7,Yes
480,2015/9/11,No
481,2011/10/27,No
482,2014/2/2,No
483,2016/8/20,No
484,2015/9/13,No
485,2016/3/13,No
486,2011/1/9,Yes
487,2012/10/1,No
488,2012/1/31,No
489,2013/9/5,Yes
490,2009/8/29,Yes
491,2011/11/29,No
492,2014/2/10,No
493,2016/6/19,Yes
494,2013/10/13,No
495,2014/6/27,No
496,2016/3/6,No
497,2015/6/12,No
498,2017/4/19,No
499,2009/3/5,No
500,2015/10/2,No
501,2016/2/10,No
502,2016/1/26,No
503,2011/2/12,No
504,2012/10/8,No
505,2011/7/4,No
506,2010/4/13,No
507,2013/4/6,No
508,2012/1/16,No
509,2009/7/5,No
510,2013/3/14,No
511,2015/9/15,No
512,2012/2/20,No
513,2017/1/16,No
514,2013/10/14,No
515,2012/5/7,No
516,2010/6/15,No
517,2010/6/19,No
518,2015/2/21,No
519,2014/5/10,Yes
520,2017/1/1,No
521,2012/4/15,No
522,2016/8/29,No
523,2010/11/18,No
524,2015/6/1,No
525,2010/9/27,No
526,2015/11/8,No
527,2016/10/17,Yes
528,2009/1/25,No
529,2009/1/2,No
530,2013/12/7,No
531,2015/6/24,No
532,2010/1/30,No
533,2017/4/30,No
534,2014/8/25,No
535,2009/7/4,No
536,2010/3/14,No
537,2010/5/14,No
538,2015/12/19,No
539,2010/3/27,No
540,2009/7/22,No
541,2016/4/6,No
542,2016/3/25,No
543,2016/7/11,No
544,2012/4/4,No
545,2014/3/15,No
546,2012/11/18,No
547,2014/10/1,No
548,2013/9/5,No
549,2010/8/5,No
550,2013/7/21,Yes
551,2014/4/15,No
552,2016/9/12,No
553,2012/10/10,No
554,2013/3/10,No
555,2017/6/13,No
556,2011/5/21,No
557,2013/3/22,No
558,2014/9/10,No
559,2010/1/19,No
560,2016/10/2,No
561,2016/8/8,No
562,2011/10/13,Yes
563,2009/6/7,No
564,2016/5/20,No
565,2012/8/20,No
566,2014/9/3,No
567,2015/11/15,Yes
568,2011/12/15,No
569,2014/11/9,No
570,2014/12/29,Yes
571,2014/4/6,No
572,2015/12/8,No
573,2011/9/18,No
574,2011/11/7,No
575,2011/12/15,No
576,2014/3/2,No
577,2009/6/22,Yes
578,2012/7/22,No
579,2010/6/12,No
580,2012/3/19,No
581,2013/11/11,No
582,2010/7/29,No
583,2014/5/18,Yes
584,2010/9/26,No
585,2016/12/19,Yes
586,2016/3/14,No
587,2015/6/3,Yes
588,2013/5/15,No
589,2014/5/24,No
590,2016/5/24,No
591,2010/8/18,No
592,2012/11/30,No
593,2014/10/24,No
594,2012/5/4,No
595,2009/5/27,Yes
596,2011/12/18,No
597,2012/11/3,Yes
598,2011/6/14,No
599,2009/9/26,No
600,2009/12/4,No
601,2010/1/13,No
602,2014/4/16,No
603,2017/1/25,No
604,2015/5/8,No
605,2013/9/24,No
606,2010/10/3,Yes
607,2011/11/1,No
608,2014/5/2,No
609,2011/9/22,No
610,2013/5/3,No
611,2013/7/31,No
612,2009/7/31,No
613,2009/12/14,No
614,2010/2/6,Yes
615,2012/4/19,No
616,2015/5/18,No
617,2010/10/2,No
618,2011/1/1,No
619,2015/2/1,Yes
620,2015/4/17,Yes
621,2009/10/3,Yes
622,2017/6/4,No
623,2012/11/11,No
624,2014/1/23,Yes
625,2015/2/28,No
626,2010/8/11,Yes
627,2012/6/16,No
628,2013/7/9,No
629,2016/12/17,No
630,2015/7/11,No
631,2012/10/7,No
632,2010/2/3,No
633,2014/10/4,No
634,2013/6/23,No
635,2011/9/29,No
636,2014/11/21,No
637,2009/11/2,No
638,2016/6/1,No
639,2015/4/29,No
640,2009/5/18,No
641,2013/10/21,No
642,2017/1/7,No
643,2010/8/1,No
644,2015/6/1,No
645,2016/3/9,No
646,2017/5/15,No
647,2016/1/8,No
648,2016/7/9,No
649,2009/1/8,No
650,2010/2/7,No
651,2011/7/7,No
652,2009/12/10,Yes
653,2015/4/15,No
654,2011/3/25,No
655,2009/11/10,No
656,2013/7/31,No
657,2011/9/11,No
658,2015/3/2,No
659,2012/10/26,No
660,2011/10/19,No
661,2012/9/29,No
662,2015/8/9,No
663,2016/8/14,No
664,2012/1/28,Yes
665,2015/8/22,No
666,2009/9/22,Yes
667,2012/9/4,No
668,2012/2/10,No
669,2009/7/31,No
670,2012/11/14,No
671,2012/1/31,No
672,2015/2/22,Yes
673,2012/5/31,No
674,2015/10/14,No
675,2011/9/5,No
676,2012/7/27,No
677,2016/7/8,No
678,2013/6/19,No
679,2016/11/14,Yes
680,2015/7/22,No
681,2008/11/2,No
682,2011/2/15,No
683,2011/6/7,Yes
684,2017/6/18,No
685,2009/8/18,No
686,2013/3/1,No
687,2010/5/12,No
688,2011/1/27,No
689,2009/5/26,No
690,2011/2/8,No
691,2013/9/1,No
692,2010/9/20,No
693,2010/11/20,No
694,2016/4/4,No
695,2011/10/3,No
696,2017/2/13,No
697,2009/4/15,No
698,2013/9/17,No
699,2017/5/23,No
700,2011/2/8,No
701,2016/5/13,No
702,2013/1/24,No
703,2011/11/17,No
704,2015/5/27,No
705,2012/5/25,No
706,2016/1/11,No
707,2013/8/14,No
708,2017/1/12,No
709,2010/3/6,No
710,2015/5/28,No
711,2011/5/22,No
712,2013/3/1,No
713,2015/8/5,No
714,2013/5/11,No
715,2010/1/11,No
716,2016/12/26,No
717,2013/1/18,No
718,2013/5/21,No
719,2009/1/19,No
720,2009/7/13,No
721,2014/5/18,No
722,2013/12/8,No
723,2012/4/1,No
724,2017/2/7,No
725,2012/4/9,No
726,2012/2/21,No
727,2016/9/2,Yes
728,2009/7/23,No
729,2015/4/1,No
730,2017/3/16,Yes
731,2009/8/25,Yes
732,2013/8/2,No
733,2013/11/6,No
734,2014/5/1,No
735,2017/3/27,No
736,2016/1/12,No
737,2012/9/27,Yes
738,2015/5/11,No
739,2011/11/13,No
740,2013/9/18,No
741,2017/2/18,Yes
742,2017/5/19,No
743,2012/3/14,No
744,2011/1/3,No
745,2016/12/19,No
746,2015/3/29,No
747,2013/4/14,No
748,2012/3/29,No
749,2012/11/4,No
750,2014/8/25,No
751,2015/10/12,No
752,2012/2/28,No
753,2014/8/15,No
754,2010/6/27,No
755,2015/1/24,No
756,2017/6/16,No
757,2012/7/28,No
758,2011/10/6,No
759,2011/11/5,No
760,2009/8/12,No
761,2015/12/11,No
762,2013/7/29,No
763,2013/10/1,No
764,2017/3/30,No
765,2016/3/14,No
766,2009/3/21,No
767,2009/1/21,No
768,2014/4/29,No
769,2016/4/7,No
770,2010/7/13,Yes
771,2015/8/17,No
772,2011/6/17,No
773,2015/7/29,No
774,2015/11/30,No
775,2014/1/31,No
776,2009/11/15,No
777,2017/3/14,Yes
778,2010/6/22,No
779,2012/8/20,No
780,2015/4/8,No
781,2010/10/19,No
782,2015/10/2,No
783,2015/6/7,Yes
784,2014/9/21,No
785,2009/1/22,No
786,2013/5/31,No
787,2015/6/25,No
788,2017/1/30,Yes
789,2014/1/16,No
790,2014/3/30,No
791,2011/9/3,No
792,2012/7/28,No
793,2010/4/12,No
794,2014/8/2,No
795,2014/6/9,No
796,2012/4/3,No
797,2009/2/1,Yes
798,2016/8/5,No
799,2009/6/11,No
800,2017/4/26,Yes
801,2011/5/9,No
802,2014/9/5,No
803,2009/8/28,No
804,2010/12/14,No
805,2013/10/19,No
806,2010/11/17,No
807,2009/1/7,No
808,2010/2/14,Yes
809,2013/5/30,Yes
810,2013/5/20,No
811,2010/3/27,No
812,2012/10/1,No
813,2017/3/15,Yes
814,2013/11/18,No
815,2014/9/17,No
816,2009/2/10,No
817,2010/2/23,No
818,2010/9/29,No
819,2014/4/19,No
820,2012/6/6,No
821,2017/6/2,No
822,2014/12/7,Yes
823,2010/10/6,No
824,2012/7/11,No
825,2014/6/4,No
826,2014/5/19,No
827,2009/9/27,Yes
828,2016/11/7,Yes
829,2016/6/19,Yes
830,2013/12/23,No
831,2016/8/5,No
832,2011/7/11,No
833,2016/2/6,No
834,2016/12/25,No
835,2011/12/29,No
836,2011/6/13,Yes
837,2012/11/19,No
838,2013/8/21,No
839,2012/8/11,No
840,2014/5/24,No
841,2012/1/10,No
842,2010/9/12,Yes
843,2010/2/14,Yes
844,2011/6/18,No
845,2014/7/20,No
846,2012/10/15,No
847,2016/4/10,No
848,2012/1/16,No
849,2012/2/11,No
850,2014/10/15,No
851,2014/9/10,No
852,2012/7/11,No
853,2009/2/10,No
854,2012/9/19,No
855,2016/6/6,Yes
856,2014/1/1,No
857,2016/9/14,Yes
858,2013/1/23,No
859,2016/3/17,No
860,2010/7/25,No
861,2014/2/23,No
862,2014/12/27,No
863,2016/7/11,No
864,2016/3/10,No
865,2008/7/4,No
866,2013/5/9,No
867,2011/11/18,No
868,2017/4/1,No
869,2011/11/19,No
870,2017/5/30,No
871,2009/1/30,No
872,2015/5/19,Yes
873,2016/3/16,Yes
874,2017/2/9,No
875,2015/6/14,No
876,2014/1/20,No
877,2009/7/6,No
878,2013/10/3,No
879,2014/11/5,No
880,2011/10/13,Yes
881,2016/9/27,No
882,2010/10/21,No
883,2013/1/15,No
884,2013/12/18,No
885,2015/5/9,No
886,2013/4/24,No
887,2013/3/25,No
888,2011/8/13,No
889,2017/2/6,No
890,2010/1/5,No
891,2010/10/18,No
892,2013/3/31,No
893,2013/9/19,Yes
894,2012/7/1,No
895,2013/5/29,No
896,2008/9/20,No
897,2015/8/27,Yes
898,2011/9/2,No
899,2011/1/18,No
900,2012/3/24,No
901,2008/10/18,No
902,2012/4/20,No
903,2015/4/24,No
904,2015/2/8,No
905,2011/8/8,No
906,2010/12/18,No
907,2011/2/4,No
908,2016/5/1,No
909,2009/10/14,Yes
910,2016/3/23,No
911,2014/12/8,No
912,2014/5/24,No
913,2009/12/17,Yes
914,2014/12/29,No
915,2010/12/8,Yes
916,2009/12/24,No
917,2013/3/27,No
918,2011/9/28,No
919,2013/7/27,No
920,2014/7/13,No
921,2013/9/27,No
922,2013/9/18,No
923,2016/2/20,No
924,2008/10/29,No
925,2011/1/1,No
926,2010/11/29,No
927,2014/10/12,No
928,2013/3/12,No
929,2011/9/8,No
930,2014/8/31,No
931,2012/4/12,No
932,2013/6/12,Yes
933,2013/8/12,No
934,2011/7/28,No
935,2014/12/26,No
936,2010/7/15,No
937,2014/8/10,No
938,2010/8/13,No
939,2009/1/14,No
940,2014/9/18,No
941,2009/8/17,No
942,2013/1/5,No
943,2010/2/18,No
944,2015/1/13,No
945,2011/12/30,No
946,2010/10/13,Yes
947,2010/1/20,No
948,2011/6/7,No
949,2011/10/8,No
950,2014/7/5,No
951,2015/11/25,No
952,2009/5/27,Yes
953,2010/12/18,Yes
954,2014/4/28,No
955,2015/12/22,Yes
956,2011/3/31,No
957,2010/3/25,No
958,2016/4/14,No
959,2014/5/7,Yes
960,2017/2/15,No
961,2009/7/21,No
962,2014/10/27,No
963,2012/4/20,No
964,2016/7/2,No
965,2012/4/27,No
966,2009/8/19,No
967,2010/5/8,No
968,2014/5/3,No
969,2012/4/21,Yes
970,2014/9/12,No
971,2010/9/8,No
972,2014/3/6,No
973,2015/4/7,Yes
974,2010/5/11,No
975,2010/3/31,Yes
976,2009/12/29,Yes
977,2012/6/26,No
978,2016/6/2,No
979,2015/6/15,No
980,2013/12/18,No
981,2015/3/8,No
982,2015/5/25,No
983,2015/11/14,No
984,2009/4/11,No
985,2012/11/25,No
986,2016/12/7,No
987,2015/8/5,No
988,2014/7/29,Yes
989,2013/8/13,No
990,2011/11/29,No
991,2011/12/13,No
992,2010/11/9,No
993,2010/12/28,No
994,2016/3/30,No
995,2015/8/12,Yes
996,2010/10/25,No
997,2015/6/19,Yes
998,2017/4/4,No
999,2013/10/12,No
1000,2012/6/17,Yes
1001,2014/7/20,No
1002,2009/9/4,No
1003,2011/8/1,No
1004,2014/2/16,No
1005,2009/12/31,No
1006,2009/10/10,No
1007,2015/2/2,No
1008,2016/2/12,No
1009,2011/11/3,No
1010,2011/6/16,No
1011,2014/12/30,No
1012,2012/1/25,No
1013,2015/4/16,No
1014,2016/3/14,No
1015,2010/2/12,No
1016,2016/1/28,No
1017,2012/5/9,No
1018,2013/6/29,Yes
1019,2010/2/5,No
1020,2011/3/1,No
1021,2015/7/22,Yes
1022,2012/9/1,No
1023,2016/3/13,No
1024,2010/12/23,No
1025,2010/12/13,No
1026,2015/4/3,No
1027,2014/1/5,No
1028,2016/11/23,No
1029,2010/10/9,No
1030,2009/11/1,No
1031,2015/9/17,Yes
1032,2013/5/10,No
1033,2010/5/11,No
1034,2014/11/1,No
1035,2009/8/16,No
1036,2009/12/8,No
1037,2013/5/20,No
1038,2012/11/16,Yes
1039,2014/7/3,No
1040,2012/7/5,No
1041,2013/11/16,Yes
1042,2009/2/3,No
1043,2012/7/6,No
1044,2015/11/16,No
1045,2009/1/18,No
1046,2012/11/12,No
1047,2016/4/12,No
1048,2012/3/1,Yes
1049,2014/7/8,Yes
1050,2016/12/11,No
1051,2012/11/21,No
1052,2009/12/22,No
1053,2012/11/23,No
1054,2012/7/23,No
1055,2015/1/20,No
1056,2013/4/26,No
1057,2016/2/19,No
1058,2015/1/19,No
1059,2011/10/7,No
1060,2016/5/3,No
1061,2011/11/5,No
1062,2016/1/3,No
1063,2012/11/18,No
1064,2012/3/5,No
1065,2010/9/22,No
1066,2016/7/21,Yes
1067,2013/11/3,No
1068,2016/1/25,No
1069,2010/4/29,No
1070,2017/6/12,No
1071,2015/12/1,No
1072,2015/9/2,No
1073,2010/10/11,No
1074,2014/9/11,No
1075,2013/6/29,No
1076,2009/12/17,No
1077,2011/10/2,No
1078,2017/4/3,No
1079,2017/5/3,No
1080,2012/7/31,No
1081,2011/10/2,No
1082,2016/4/30,No
1083,2012/4/17,No
1084,2010/7/30,No
1085,2017/2/24,No
1086,2011/9/12,No
1087,2013/11/26,No
1088,2009/12/16,No
1089,2013/12/29,No
1090,2017/2/17,No
1091,2016/12/1,No
1092,2014/12/18,No
1093,2013/12/27,No
1094,2013/5/26,No
1095,2011/7/10,No
1096,2013/5/14,No
1097,2014/10/24,No
1098,2015/9/8,No
1099,2015/11/1,Yes
1100,2009/11/11,No
1101,2009/6/15,No
1102,2010/8/16,No
1103,2015/4/28,No
1104,2015/2/4,No
1105,2010/12/6,No
1106,2017/1/1,No
1107,2012/7/25,No
1108,2009/10/1,No
1109,2014/5/22,No
1110,2013/10/6,No
1111,2015/4/29,No
1112,2012/6/30,Yes
1113,2015/9/8,No
1114,2009/9/4,No
1115,2014/8/22,No
1116,2013/1/29,Yes
1117,2013/10/4,No
1118,2013/9/6,No
1119,2011/5/26,No
1120,2016/1/17,No
1121,2015/5/30,No
1122,2013/9/23,Yes
1123,2011/10/10,No
1124,2015/2/17,No
1125,2010/12/9,Yes
1126,2015/9/16,No
1127,2015/10/1,No
1128,2010/6/18,No
1129,2015/7/22,No
1130,2015/2/2,No
1131,2011/8/21,No
1132,2014/11/1,No
1133,2015/7/17,No
1134,2014/8/18,Yes
1135,2013/3/4,Yes
1136,2017/1/12,Yes
1137,2009/12/22,No
1138,2015/5/12,No
1139,2015/8/16,No
1140,2016/9/10,Yes
1141,2016/7/23,No
1142,2016/12/23,No
1143,2014/8/12,No
1144,2009/2/23,Yes
1145,2015/3/29,No
1146,2015/6/25,No
1147,2016/2/4,No
1148,2011/12/19,No
1149,2012/5/26,No
1150,2015/3/16,No
1151,2016/11/17,No
1152,2013/1/13,No
1153,2017/6/15,No
1154,2011/11/13,No
1155,2012/9/4,No
1156,2014/10/10,No
1157,2010/12/23,No
1158,2009/3/21,No
1159,2016/1/23,No
1160,2015/1/22,No
1161,2016/5/7,No
1162,2014/3/31,Yes
1163,2016/8/22,No
1164,2011/1/20,No
1165,2013/8/30,No
1166,2015/11/25,No
1167,2009/2/28,No
1168,2015/10/16,No
1169,2010/1/7,No
1170,2016/4/24,No
1171,2016/12/30,No
1172,2012/6/24,No
1173,2011/2/15,No
1174,2016/11/30,No
1175,2016/2/4,Yes
1176,2010/1/15,No
1177,2012/4/14,No
1178,2012/3/23,No
1179,2014/12/1,No
1180,2016/11/7,No
1181,2009/11/4,No
1182,2016/11/1,No
1183,2011/9/18,No
1184,2014/10/17,No
1185,2014/2/6,No
1186,2009/9/30,No
1187,2012/8/16,No
1188,2010/12/24,Yes
1189,2009/5/14,No
1190,2010/2/8,Yes
1191,2009/2/4,No
1192,2017/4/28,No
1193,2011/8/14,Yes
1194,2016/6/10,No
1195,2015/3/30,No
1196,2016/4/28,Yes
1197,2014/6/10,No
1198,2010/8/27,No
1199,2014/5/21,No
1200,2010/8/30,No
1201,2016/6/21,No
1202,2017/3/6,Yes
1203,2013/3/15,No
1204,2012/9/2,No
1205,2011/6/6,No
1206,2009/9/22,No
1207,2012/5/28,No
1208,2015/12/20,No
1209,2016/1/24,No
1210,2011/7/29,No
1211,2014/6/19,No
1212,2012/5/6,No
1213,2011/3/25,No
1214,2013/11/25,Yes
1215,2014/2/27,No
1216,2014/12/4,No
1217,2016/4/16,No
1218,2012/11/16,Yes
