Date,RainTomorrow
2013/12/6,No
2013/4/11,No
2014/11/16,No
2012/1/27,Yes
2015/2/13,No
2015/3/26,No
2014/6/4,Yes
2016/2/11,No
2010/11/17,No
2015/8/25,No
2015/11/29,No
2014/9/9,No
2014/12/10,No
2017/5/22,No
2010/12/10,No
2016/6/5,No
2009/5/31,Yes
2013/7/28,Yes
2014/2/25,No
2016/7/6,No
2015/8/15,No
2016/5/19,Yes
2013/4/3,No
2009/9/28,Yes
2014/12/12,No
2011/1/7,No
2013/10/4,No
2014/6/26,No
2012/8/9,Yes
2011/6/12,No
2010/4/29,No
2017/4/10,No
2015/7/4,No
2008/12/19,No
2010/4/13,No
2012/6/24,No
2016/12/18,No
2013/5/18,No
2016/1/25,No
2017/3/21,No
2009/4/9,No
2011/1/4,No
2015/8/22,No
2010/10/4,No
2009/10/14,No
2014/2/24,No
2015/3/5,No
2013/6/10,No
2015/7/19,No
2009/5/13,No
2017/6/25,No
2010/10/16,No
2010/12/24,No
2014/8/19,No
2013/11/16,No
2009/11/9,No
2011/7/10,No
2013/3/22,Yes
2013/5/1,No
2010/3/4,No
2014/11/14,No
2010/2/15,No
2010/5/28,Yes
2013/5/24,No
2009/6/7,Yes
2009/8/16,Yes
2013/3/8,No
2013/11/22,Yes
2013/6/11,No
2014/2/3,No
2009/12/29,No
2011/1/30,No
2010/6/28,No
2014/4/5,No
2015/6/23,No
2015/3/8,No
2014/2/4,No
2012/9/24,No
2016/12/27,Yes
2016/9/24,Yes
2011/10/1,Yes
2009/12/27,No
2009/4/19,No
2013/12/12,No
2010/10/21,No
2013/6/11,No
2015/10/20,Yes
2016/7/3,No
2015/2/24,No
2012/3/29,No
2009/5/8,No
2015/5/19,Yes
2013/1/10,No
2013/7/7,Yes
2015/9/11,No
2011/10/27,No
2014/2/2,No
2016/8/20,No
2015/9/13,No
2016/3/13,No
2011/1/9,Yes
2012/10/1,No
2012/1/31,No
2013/9/5,Yes
2009/8/29,No
2011/11/29,No
2014/2/10,No
2016/6/19,Yes
2013/10/13,No
2014/6/27,No
2016/3/6,No
2015/6/12,No
2017/4/19,No
2009/3/5,No
2015/10/2,No
2016/2/10,No
2016/1/26,No
2011/2/12,No
2012/10/8,No
2011/7/4,No
2010/4/13,No
2013/4/6,No
2012/1/16,No
2009/7/5,No
2013/3/14,No
2015/9/15,No
2012/2/20,No
2017/1/16,No
2013/10/14,No
2012/5/7,No
2010/6/15,No
2010/6/19,No
2015/2/21,No
2014/5/10,Yes
2017/1/1,No
2012/4/15,No
2016/8/29,No
2010/11/18,No
2015/6/1,No
2010/9/27,No
2015/11/8,No
2016/10/17,Yes
2009/1/25,No
2009/1/2,No
2013/12/7,No
2015/6/24,No
2010/1/30,No
2017/4/30,No
2014/8/25,No
2009/7/4,No
2010/3/14,No
2010/5/14,No
2015/12/19,No
2010/3/27,No
2009/7/22,No
2016/4/6,No
2016/3/25,No
2016/7/11,Yes
2012/4/4,No
2014/3/15,No
2012/11/18,No
2014/10/1,No
2013/9/5,No
2010/8/5,No
2013/7/21,Yes
2014/4/15,No
2016/9/12,Yes
2012/10/10,No
2013/3/10,No
2017/6/13,No
2011/5/21,No
2013/3/22,No
2014/9/10,No
2010/1/19,No
2016/10/2,No
2016/8/8,No
2011/10/13,Yes
2009/6/7,No
2016/5/20,Yes
2012/8/20,No
2014/9/3,No
2015/11/15,Yes
2011/12/15,No
2014/11/9,No
2014/12/29,No
2014/4/6,No
2015/12/8,No
2011/9/18,No
2011/11/7,No
2011/12/15,No
2014/3/2,No
2009/6/22,Yes
2012/7/22,Yes
2010/6/12,No
2012/3/19,No
2013/11/11,No
2010/7/29,No
2014/5/18,Yes
2010/9/26,No
2016/12/19,Yes
2016/3/14,No
2015/6/3,Yes
2013/5/15,No
2014/5/24,No
2016/5/24,No
2010/8/18,No
2012/11/30,No
2014/10/24,No
2012/5/4,No
2009/5/27,Yes
2011/12/18,No
2012/11/3,Yes
2011/6/14,No
2009/9/26,No
2009/12/4,No
2010/1/13,No
2014/4/16,No
2017/1/25,No
2015/5/8,No
2013/9/24,No
2010/10/3,Yes
2011/11/1,No
2014/5/2,No
2011/9/22,No
2013/5/3,Yes
2013/7/31,No
2009/7/31,No
2009/12/14,No
2010/2/6,Yes
2012/4/19,No
2015/5/18,No
2010/10/2,No
2011/1/1,No
2015/2/1,Yes
2015/4/17,Yes
2009/10/3,Yes
2017/6/4,No
2012/11/11,No
2014/1/23,Yes
2015/2/28,No
2010/8/11,Yes
2012/6/16,No
2013/7/9,No
2016/12/17,No
2015/7/11,No
2012/10/7,No
2010/2/3,Yes
2014/10/4,No
2013/6/23,No
2011/9/29,No
2014/11/21,Yes
2009/11/2,Yes
2016/6/1,No
2015/4/29,No
2009/5/18,No
2013/10/21,No
2017/1/7,No
2010/8/1,No
2015/6/1,No
2016/3/9,No
2017/5/15,No
2016/1/8,No
2016/7/9,Yes
2009/1/8,No
2010/2/7,No
2011/7/7,No
2009/12/10,Yes
2015/4/15,No
2011/3/25,No
2009/11/10,No
2013/7/31,No
2011/9/11,No
2015/3/2,No
2012/10/26,No
2011/10/19,No
2012/9/29,No
2015/8/9,No
2016/8/14,No
2012/1/28,Yes
2015/8/22,No
2009/9/22,Yes
2012/9/4,No
2012/2/10,No
2009/7/31,No
2012/11/14,No
2012/1/31,No
2015/2/22,Yes
2012/5/31,No
2015/10/14,No
2011/9/5,No
2012/7/27,No
2016/7/8,No
2013/6/19,No
2016/11/14,Yes
2015/7/22,No
2008/11/2,No
2011/2/15,No
2011/6/7,Yes
2017/6/18,No
2009/8/18,No
2013/3/1,No
2010/5/12,No
2011/1/27,No
2009/5/26,No
2011/2/8,No
2013/9/1,No
2010/9/20,No
2010/11/20,No
2016/4/4,No
2011/10/3,No
2017/2/13,No
2009/4/15,No
2013/9/17,No
2017/5/23,No
2011/2/8,No
2016/5/13,No
2013/1/24,No
2011/11/17,No
2015/5/27,No
2012/5/25,No
2016/1/11,No
2013/8/14,No
2017/1/12,No
2010/3/6,No
2015/5/28,No
2011/5/22,No
2013/3/1,No
2015/8/5,No
2013/5/11,No
2010/1/11,No
2016/12/26,No
2013/1/18,No
2013/5/21,No
2009/1/19,No
2009/7/13,No
2014/5/18,No
2013/12/8,Yes
2012/4/1,No
2017/2/7,No
2012/4/9,No
2012/2/21,No
2016/9/2,Yes
2009/7/23,No
2015/4/1,No
2017/3/16,Yes
2009/8/25,Yes
2013/8/2,No
2013/11/6,No
2014/5/1,No
2017/3/27,No
2016/1/12,No
2012/9/27,No
2015/5/11,No
2011/11/13,No
2013/9/18,No
2017/2/18,Yes
2017/5/19,No
2012/3/14,No
2011/1/3,No
2016/12/19,No
2015/3/29,No
2013/4/14,No
2012/3/29,No
2012/11/4,No
2014/8/25,No
2015/10/12,No
2012/2/28,No
2014/8/15,No
2010/6/27,No
2015/1/24,No
2017/6/16,No
2012/7/28,No
2011/10/6,No
2011/11/5,No
2009/8/12,No
2015/12/11,No
2013/7/29,No
2013/10/1,No
2017/3/30,No
2016/3/14,No
2009/3/21,No
2009/1/21,Yes
2014/4/29,No
2016/4/7,No
2010/7/13,Yes
2015/8/17,No
2011/6/17,No
2015/7/29,No
2015/11/30,No
2014/1/31,No
2009/11/15,No
2017/3/14,Yes
2010/6/22,No
2012/8/20,No
2015/4/8,No
2010/10/19,No
2015/10/2,No
2015/6/7,Yes
2014/9/21,No
2009/1/22,No
2013/5/31,No
2015/6/25,No
2017/1/30,Yes
2014/1/16,No
2014/3/30,No
2011/9/3,No
2012/7/28,No
2010/4/12,No
2014/8/2,No
2014/6/9,No
2012/4/3,No
2009/2/1,Yes
2016/8/5,No
2009/6/11,No
2017/4/26,Yes
2011/5/9,No
2014/9/5,No
2009/8/28,No
2010/12/14,No
2013/10/19,No
2010/11/17,No
2009/1/7,No
2010/2/14,Yes
2013/5/30,Yes
2013/5/20,No
2010/3/27,No
2012/10/1,No
2017/3/15,Yes
2013/11/18,No
2014/9/17,No
2009/2/10,No
2010/2/23,No
2010/9/29,No
2014/4/19,No
2012/6/6,No
2017/6/2,No
2014/12/7,Yes
2010/10/6,No
2012/7/11,No
2014/6/4,No
2014/5/19,No
2009/9/27,Yes
2016/11/7,Yes
2016/6/19,Yes
2013/12/23,No
2016/8/5,No
2011/7/11,No
2016/2/6,No
2016/12/25,No
2011/12/29,No
2011/6/13,Yes
2012/11/19,No
2013/8/21,No
2012/8/11,No
2014/5/24,No
2012/1/10,No
2010/9/12,Yes
2010/2/14,Yes
2011/6/18,No
2014/7/20,No
2012/10/15,No
2016/4/10,No
2012/1/16,No
2012/2/11,No
2014/10/15,No
2014/9/10,No
2012/7/11,No
2009/2/10,No
2012/9/19,No
2016/6/6,Yes
2014/1/1,No
2016/9/14,Yes
2013/1/23,No
2016/3/17,No
2010/7/25,No
2014/2/23,No
2014/12/27,No
2016/7/11,No
2016/3/10,No
2008/7/4,No
2013/5/9,No
2011/11/18,No
2017/4/1,No
2011/11/19,No
2017/5/30,No
2009/1/30,No
2015/5/19,Yes
2016/3/16,Yes
2017/2/9,No
2015/6/14,No
2014/1/20,No
2009/7/6,No
2013/10/3,No
2014/11/5,No
2011/10/13,Yes
2016/9/27,No
2010/10/21,No
2013/1/15,No
2013/12/18,No
2015/5/9,No
2013/4/24,No
2013/3/25,No
2011/8/13,No
2017/2/6,No
2010/1/5,No
2010/10/18,No
2013/3/31,No
2013/9/19,Yes
2012/7/1,No
2013/5/29,No
2008/9/20,No
2015/8/27,Yes
2011/9/2,No
2011/1/18,No
2012/3/24,No
2008/10/18,No
2012/4/20,No
2015/4/24,No
2015/2/8,No
2011/8/8,Yes
2010/12/18,Yes
2011/2/4,No
2016/5/1,No
2009/10/14,Yes
2016/3/23,No
2014/12/8,No
2014/5/24,No
2009/12/17,No
2014/12/29,No
2010/12/8,Yes
2009/12/24,No
2013/3/27,No
2011/9/28,No
2013/7/27,No
2014/7/13,No
2013/9/27,No
2013/9/18,No
2016/2/20,No
2008/10/29,No
2011/1/1,No
2010/11/29,No
2014/10/12,No
2013/3/12,Yes
2011/9/8,No
2014/8/31,No
2012/4/12,No
2013/6/12,No
2013/8/12,No
2011/7/28,No
2014/12/26,No
2010/7/15,No
2014/8/10,No
2010/8/13,No
2009/1/14,No
2014/9/18,No
2009/8/17,No
2013/1/5,No
2010/2/18,No
2015/1/13,No
2011/12/30,No
2010/10/13,Yes
2010/1/20,No
2011/6/7,No
2011/10/8,No
2014/7/5,No
2015/11/25,No
2009/5/27,No
2010/12/18,No
2014/4/28,No
2015/12/22,Yes
2011/3/31,No
2010/3/25,No
2016/4/14,No
2014/5/7,Yes
2017/2/15,No
2009/7/21,No
2014/10/27,No
2012/4/20,No
2016/7/2,No
2012/4/27,No
2009/8/19,No
2010/5/8,No
2014/5/3,No
2012/4/21,Yes
2014/9/12,No
2010/9/8,No
2014/3/6,No
2015/4/7,Yes
2010/5/11,No
2010/3/31,No
2009/12/29,Yes
2012/6/26,No
2016/6/2,No
2015/6/15,No
2013/12/18,No
2015/3/8,No
2015/5/25,No
2015/11/14,No
2009/4/11,No
2012/11/25,No
2016/12/7,No
2015/8/5,Yes
2014/7/29,Yes
2013/8/13,No
2011/11/29,No
2011/12/13,No
2010/11/9,No
2010/12/28,No
2016/3/30,No
2015/8/12,Yes
2010/10/25,No
2015/6/19,Yes
2017/4/4,No
2013/10/12,No
2012/6/17,Yes
2014/7/20,No
2009/9/4,No
2011/8/1,No
2014/2/16,No
2009/12/31,No
2009/10/10,No
2015/2/2,No
2016/2/12,No
2011/11/3,No
2011/6/16,No
2014/12/30,No
2012/1/25,No
2015/4/16,No
2016/3/14,No
2010/2/12,No
2016/1/28,No
2012/5/9,Yes
2013/6/29,Yes
2010/2/5,No
2011/3/1,No
2015/7/22,Yes
2012/9/1,No
2016/3/13,No
2010/12/23,No
2010/12/13,No
2015/4/3,No
2014/1/5,No
2016/11/23,No
2010/10/9,No
2009/11/1,No
2015/9/17,Yes
2013/5/10,No
2010/5/11,No
2014/11/1,No
2009/8/16,Yes
2009/12/8,No
2013/5/20,No
2012/11/16,Yes
2014/7/3,No
2012/7/5,No
2013/11/16,Yes
2009/2/3,No
2012/7/6,No
2015/11/16,No
2009/1/18,No
2012/11/12,No
2016/4/12,No
2012/3/1,Yes
2014/7/8,Yes
2016/12/11,No
2012/11/21,No
2009/12/22,No
2012/11/23,No
2012/7/23,No
2015/1/20,No
2013/4/26,No
2016/2/19,No
2015/1/19,No
2011/10/7,No
2016/5/3,No
2011/11/5,No
2016/1/3,No
2012/11/18,No
2012/3/5,No
2010/9/22,No
2016/7/21,Yes
2013/11/3,No
2016/1/25,No
2010/4/29,No
2017/6/12,No
2015/12/1,No
2015/9/2,No
2010/10/11,No
2014/9/11,No
2013/6/29,No
2009/12/17,No
2011/10/2,No
2017/4/3,No
2017/5/3,Yes
2012/7/31,No
2011/10/2,No
2016/4/30,No
2012/4/17,No
2010/7/30,No
2017/2/24,No
2011/9/12,No
2013/11/26,No
2009/12/16,No
2013/12/29,No
2017/2/17,No
2016/12/1,Yes
2014/12/18,No
2013/12/27,No
2013/5/26,No
2011/7/10,Yes
2013/5/14,No
2014/10/24,No
2015/9/8,No
2015/11/1,No
2009/11/11,No
2009/6/15,No
2010/8/16,No
2015/4/28,No
2015/2/4,No
2010/12/6,Yes
2017/1/1,No
2012/7/25,No
2009/10/1,No
2014/5/22,No
2013/10/6,No
2015/4/29,No
2012/6/30,Yes
2015/9/8,No
2009/9/4,Yes
2014/8/22,No
2013/1/29,No
2013/10/4,No
2013/9/6,No
2011/5/26,No
2016/1/17,No
2015/5/30,No
2013/9/23,Yes
2011/10/10,No
2015/2/17,No
2010/12/9,No
2015/9/16,No
2015/10/1,No
2010/6/18,No
2015/7/22,No
2015/2/2,No
2011/8/21,No
2014/11/1,No
2015/7/17,No
2014/8/18,Yes
2013/3/4,Yes
2017/1/12,Yes
2009/12/22,No
2015/5/12,No
2015/8/16,No
2016/9/10,No
2016/7/23,No
2016/12/23,No
2014/8/12,No
2009/2/23,Yes
2015/3/29,No
2015/6/25,No
2016/2/4,No
2011/12/19,No
2012/5/26,No
2015/3/16,No
2016/11/17,No
2013/1/13,No
2017/6/15,No
2011/11/13,No
2012/9/4,No
2014/10/10,No
2010/12/23,No
2009/3/21,No
2016/1/23,No
2015/1/22,Yes
2016/5/7,No
2014/3/31,Yes
2016/8/22,No
2011/1/20,No
2013/8/30,No
2015/11/25,No
2009/2/28,No
2015/10/16,No
2010/1/7,No
2016/4/24,No
2016/12/30,No
2012/6/24,No
2011/2/15,No
2016/11/30,No
2016/2/4,No
2010/1/15,No
2012/4/14,No
2012/3/23,No
2014/12/1,No
2016/11/7,Yes
2009/11/4,No
2016/11/1,No
2011/9/18,Yes
2014/10/17,No
2014/2/6,No
2009/9/30,No
2012/8/16,No
2010/12/24,Yes
2009/5/14,No
2010/2/8,No
2009/2/4,No
2017/4/28,No
2011/8/14,Yes
2016/6/10,No
2015/3/30,Yes
2016/4/28,Yes
2014/6/10,No
2010/8/27,No
2014/5/21,No
2010/8/30,No
2016/6/21,No
2017/3/6,Yes
2013/3/15,No
2012/9/2,No
2011/6/6,No
2009/9/22,No
2012/5/28,No
2015/12/20,No
2016/1/24,No
2011/7/29,No
2014/6/19,No
2012/5/6,No
2011/3/25,No
2013/11/25,Yes
2014/2/27,No
2014/12/4,No
2016/4/16,No
2012/11/16,Yes
2009/5/12,No
2009/12/1,No
2015/1/30,No
2016/5/6,No
2013/7/27,No
2013/4/19,No
2014/11/3,No
2012/9/28,Yes
2014/9/1,Yes
2012/4/20,No
2013/6/23,Yes
2016/11/12,No
2015/5/13,No
2015/5/22,No
2012/8/11,Yes
2014/10/7,No
2015/1/26,No
2012/3/16,No
2016/4/1,No
2014/2/17,No
2013/8/10,No
2012/7/27,Yes
2013/11/23,Yes
2014/8/10,No
2012/11/26,No
2013/1/26,Yes
2016/12/21,No
2012/5/18,No
2010/9/28,No
2013/9/4,No
2014/3/22,No
2015/10/21,No
2017/3/11,No
2013/3/26,Yes
2013/11/27,No
2011/3/16,No
2011/9/23,No
2015/7/7,No
2015/3/6,No
2016/4/17,No
2013/3/7,No
2017/1/26,No
2016/8/3,Yes
2010/1/8,No
2017/4/7,No
2013/3/13,No
2014/9/21,No
2017/1/25,No
2014/3/11,No
2009/4/1,No
2016/6/15,No
2011/5/12,Yes
2015/1/27,No
2012/7/28,No
2012/4/28,No
2016/9/17,No
2013/11/22,No
2013/6/25,No
2007/11/29,Yes
2016/11/29,No
2010/2/8,No
2015/6/2,No
2014/1/5,No
2016/6/13,No
2015/9/10,No
2012/10/13,No
2011/5/11,No
2015/4/22,No
2014/2/4,No
2009/12/26,Yes
2013/1/30,No
2014/1/4,No
2009/10/2,Yes
2010/1/24,No
2011/6/28,No
2009/7/24,No
2013/10/3,No
2012/10/5,No
2011/10/9,No
2016/10/8,No
2014/6/25,No
2010/11/30,Yes
2012/3/1,No
2013/3/25,No
2014/2/15,Yes
2014/7/7,No
2010/4/21,No
2013/11/4,No
2012/11/3,No
2017/1/30,No
2012/9/8,No
2016/12/13,Yes
2012/8/1,Yes
2012/7/7,No
2012/10/2,No
2016/10/10,No
2013/9/30,No
2010/5/18,No
2011/7/19,No
2017/2/12,No
2011/12/21,No
2016/10/3,Yes
2013/4/6,No
2015/5/1,Yes
2013/7/6,No
2009/7/23,No
2010/9/21,No
2011/11/10,No
2015/3/6,No
2012/8/2,No
2013/1/2,No
2010/8/30,No
2014/7/15,Yes
2015/10/11,No
2014/9/11,No
2012/5/10,No
2009/2/8,No
2016/1/3,No
2013/1/15,No
2016/5/1,Yes
2016/5/18,No
2010/10/28,Yes
2011/2/14,No
2017/6/14,No
2013/1/13,No
2013/7/24,No
2009/11/15,No
2011/6/25,No
2016/5/31,No
2016/1/27,Yes
2011/11/13,No
2015/1/30,No
2014/6/5,No
2015/2/8,No
2017/1/3,No
2012/3/8,Yes
2014/4/19,No
2013/7/5,No
2012/9/4,No
2016/3/30,No
2010/12/16,No
2014/9/5,No
2011/5/19,No
2016/5/5,No
2009/5/22,No
2010/10/11,No
2017/2/23,No
2009/4/10,No
2017/4/28,No
2009/7/18,No
2012/1/24,No
2013/11/10,No
2013/9/28,Yes
2009/4/14,Yes
2013/3/12,No
2008/8/29,Yes
2013/3/7,No
2012/7/21,No
2012/2/3,Yes
2009/10/22,No
2014/4/24,No
2014/8/26,No
2010/10/16,Yes
2016/10/21,Yes
2011/9/27,No
2016/6/7,Yes
2010/8/14,No
2009/3/21,No
2011/5/22,Yes
2013/7/23,No
2015/2/18,No
2011/12/4,No
2010/6/18,Yes
2016/1/24,No
2013/8/26,No
2009/7/2,No
2013/9/7,No
2016/7/9,No
2009/10/29,No
2012/5/10,No
2014/5/19,No
2014/11/20,Yes
2017/1/24,No
2009/5/18,No
2017/3/9,No
2011/5/1,No
2013/4/19,No
2010/10/8,No
2010/12/27,No
2011/3/20,No
2010/5/12,No
2013/10/20,No
2013/11/24,No
2013/8/23,No
2013/4/6,No
2017/6/11,No
2009/12/6,No
2013/12/13,No
2015/2/1,No
2014/12/29,No
2015/7/18,No
2011/6/8,No
2015/8/17,Yes
2014/8/24,No
2014/6/13,No
2014/1/22,No
2011/2/22,No
2016/5/15,No
2009/6/25,No
2009/10/5,No
2013/9/30,No
2008/12/7,No
2011/2/4,Yes
2012/3/10,No
2012/4/9,No
2011/3/23,No
2012/7/20,No
2015/10/22,No
2009/10/30,No
2012/1/21,No
2010/1/2,No
2015/12/17,No
2014/11/17,No
2011/12/31,No
2016/8/10,No
2011/8/2,No
2013/4/25,Yes
2016/7/26,Yes
2011/6/11,No
2014/8/9,No
2012/6/27,Yes
2016/5/21,No
2013/6/19,No
2012/8/6,No
2014/3/27,Yes
2012/2/20,No
2015/4/2,No
2008/9/19,No
2009/8/21,Yes
2011/7/23,No
2008/12/1,No
2011/11/26,No
2013/4/23,No
2010/7/17,No
2013/10/20,No
2017/6/3,No
2016/3/15,No
2013/9/30,No
2012/7/14,No
2015/1/13,Yes
2012/1/24,No
2017/5/6,No
2014/6/20,No
2015/10/1,No
2016/7/4,No
2010/7/28,Yes
2015/3/11,No
2015/5/22,No
2012/3/19,No
2010/4/29,No
2016/4/26,No
2015/5/25,Yes
2009/1/16,No
2014/12/16,No
2009/5/20,No
2010/3/6,Yes
2010/7/12,No
2010/4/9,No
2010/3/28,Yes
2009/2/6,Yes
2012/5/29,No
2014/7/10,No
2017/4/5,No
2009/11/3,Yes
2009/11/4,No
2010/2/3,No
2010/1/21,No
2013/4/24,No
2015/7/19,Yes
2015/12/29,No
